class,class_encoded
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
QSO,1
QSO,1
GALAXY,0
GALAXY,0
STAR,2
GALAXY,0
GALAXY,0
STAR,2
GALAXY,0
GALAXY,0
GALAXY,0
STAR,2
QSO,1
STAR,2
GALAXY,0
GALAXY,0
STAR,2
GALAXY,0
QSO,1
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
QSO,1
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
STAR,2
GALAXY,0
STAR,2
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
STAR,2
GALAXY,0
QSO,1
QSO,1
GALAXY,0
GALAXY,0
QSO,1
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
QSO,1
QSO,1
GALAXY,0
QSO,1
STAR,2
GALAXY,0
GALAXY,0
STAR,2
GALAXY,0
QSO,1
GALAXY,0
STAR,2
QSO,1
GALAXY,0
QSO,1
GALAXY,0
QSO,1
GALAXY,0
STAR,2
GALAXY,0
STAR,2
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
STAR,2
STAR,2
QSO,1
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
QSO,1
QSO,1
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
QSO,1
QSO,1
GALAXY,0
QSO,1
STAR,2
GALAXY,0
QSO,1
GALAXY,0
STAR,2
GALAXY,0
GALAXY,0
GALAXY,0
QSO,1
STAR,2
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
QSO,1
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
QSO,1
STAR,2
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
STAR,2
GALAXY,0
GALAXY,0
GALAXY,0
STAR,2
GALAXY,0
GALAXY,0
QSO,1
STAR,2
GALAXY,0
GALAXY,0
GALAXY,0
QSO,1
STAR,2
GALAXY,0
QSO,1
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
STAR,2
GALAXY,0
GALAXY,0
QSO,1
STAR,2
QSO,1
QSO,1
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
STAR,2
GALAXY,0
GALAXY,0
STAR,2
GALAXY,0
GALAXY,0
GALAXY,0
STAR,2
STAR,2
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
STAR,2
STAR,2
GALAXY,0
GALAXY,0
GALAXY,0
QSO,1
QSO,1
GALAXY,0
QSO,1
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
STAR,2
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
QSO,1
GALAXY,0
QSO,1
QSO,1
GALAXY,0
STAR,2
QSO,1
STAR,2
GALAXY,0
GALAXY,0
GALAXY,0
STAR,2
GALAXY,0
GALAXY,0
QSO,1
STAR,2
STAR,2
STAR,2
QSO,1
GALAXY,0
GALAXY,0
GALAXY,0
STAR,2
GALAXY,0
QSO,1
GALAXY,0
GALAXY,0
GALAXY,0
QSO,1
STAR,2
STAR,2
GALAXY,0
GALAXY,0
GALAXY,0
QSO,1
GALAXY,0
QSO,1
STAR,2
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
STAR,2
QSO,1
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
STAR,2
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
STAR,2
GALAXY,0
QSO,1
QSO,1
GALAXY,0
GALAXY,0
STAR,2
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
STAR,2
GALAXY,0
GALAXY,0
QSO,1
QSO,1
QSO,1
GALAXY,0
GALAXY,0
GALAXY,0
QSO,1
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
GALAXY,0
QSO,1
QSO,1
GALAXY,0
GALAXY,0
GALAXY,0
QSO,1
QSO,1
GALAXY,0
GALAXY,0
